Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","2n2222a","Bipolar (BJT) Transistor NPN 40 V 600 mA 250MHz 625 mW Through Hole TO-92","Q1, Q2, Q3, Q4, Q5, Q6, Q7","7","","","","","","",""
"","Bourns 3386P-1-104LF","100 kOhms 0.5W, 1/2W PC Pins Through Hole Trimmer Potentiometer Cermet 1.0 Turn Top Adjustment","R9","1","","","","","","",""
"","1k","1K OHM 1% 1/4W 1206","R3, R11, R14, R15","4","Panasonic","ERJ-8ENF1001V","Not Recommended for New Design","Mouser","667-ERJ-8ENF1001V","0.054","0.54"
"","100k","100K OHM 1% 1/4W 1206","R4","1","Panasonic","ERJ-8ENF1003V","Not Recommended for New Design","DigiKey","P100KFCT-ND","0.16","0.16"
"","330","330 OHM 1% 1/4W 1206","R7, R12","2","Panasonic","ERJ-8ENF3300V","Not Recommended for New Design","DigiKey","P330FCT-ND","0.16","0.32"
"","ERJ-8ENF2000V","200 OHM 1% 1/4W 1206","R8","1","Panasonic","ERJ-8ENF2000V","Not Recommended for New Design","DigiKey","P200FCT-ND","0.16","0.16"
"","ERJ-8ENF2001V","2K OHM 1% 1/4W 1206","R2, R5, R10","3","Panasonic","ERJ-8ENF2001V","Not Recommended for New Design","Mouser","667-ERJ-8ENF2001V","0.16","0.48"
"","ERJ-8ENF1004V","1M OHM 1% 1/4W 1206","R18","1","Panasonic","ERJ-8ENF1004V","Unknown","","","",""
"","HEADER_6X1","HEADER VERT 6POS .100 TIN","JP1, JP2","2","Wurth Elektronik","61300611121","Unknown","Mouser","710-61300611121","0.34","0.68"
"","1N4148WT","Rectifier Diode, 1 Phase, 1 Element, 0.15A, 100V V(RRM), Silicon","D3","1","onsemi","1N4148TR","Volume Production","Mouser","512-1N4148TR","0.1","0.1"
"","2N7002","MOSFET N-CH 60V 115 mA","Q8, Q9","2","onsemi","2N7002","Volume Production","Mouser","512-2N7002","0.59","1.18"
"","3386P-1-504LF","Cermet Not Linear VERTICAL Trimmer Potentiometer ?10% 280deg 500mW 85C","R13","1","Bourns","3386P-1-504LF","Volume Production","Mouser","652-3386P-1-504LF","1.22","1.22"
"","5016","PC TEST POINT COMPACT SMT","TP1","1","Keystone","5016","Volume Production","DigiKey","36-5016CT-ND","0.26","0.26"
"","AA3528SESK/J3","LED Red 2.2V 20mA","D1, D2","2","Kingbright","AA3528SESK/J3","Volume Production","DigiKey","754-1771-1-ND","0.54","1.08"
"","C3216X5R1E476M160AC","CER 47uF 25V X5R 1206 2.082mOhm","C1","1","TDK","C3216X5R1E476M160AC","Volume Production","DigiKey","445-8047-1-ND","0.89","0.89"
"","LTV-817S","LTV Series Single Channel 35 V 5000 Vrms Transistor Output Optocoupler SMT-DIP-4","U1","1","Lite-On","LTV-817S","Volume Production","Mouser","859-LTV-817S","0.26","0.26"
"","RNCF1206TKY10K0","RES 10K OHM 0.01% 1/4W 1206","R1, R6, R16","3","Stackpole Electronics","RNCF1206TKY10K0","Volume Production","Mouser","708-RNCF1206TKY10K0","1.65","4.95"
